Domain,Model_Version,Type,RMSE_VA,PCC_V,PCC_A
Restaurant,Sentiment_Lexicon,Baseline,1.461,0.758,0.321
Restaurant,TextBlob,Baseline,1.832,0.670,0.255
Restaurant,TF_IDF_SVR,Baseline,1.590,0.595,0.381
Restaurant,BERT,Transformer,1.091,0.880,0.525
Restaurant,V2_DeBERTa,Transformer,1.297,0.878,0.601
Restaurant,V3_Phase1,Proposed,0.935,0.907,0.639
Restaurant,V3_Phase2,Proposed,0.988,0.891,0.612
Restaurant,V3_Phase3_SOTA,Proposed,0.850,0.926,0.706
Laptop,Sentiment_Lexicon,Baseline,1.766,0.596,0.220
Laptop,TextBlob,Baseline,2.298,0.617,0.305
Laptop,TF_IDF_SVR,Baseline,1.582,0.620,0.365
Laptop,BERT,Transformer,1.150,0.850,0.500
Laptop,V2_DeBERTa,Transformer,1.054,0.907,0.547
Laptop,V3_Phase1,Proposed,0.994,0.913,0.535
Laptop,V3_Phase2_Collapsed,Proposed,1.800,0.200,0.100
Laptop,V3_Phase3_SOTA,Proposed,0.965,0.901,0.551
