model,domain,task,RMSE_VA,RMSE_norm,PCC_V,PCC_A,N,timestamp
Random,restaurant,1,4.485251091404045,0.39644393275702045,0.05580781918495524,-0.021649411611813826,340,20260329_031728
Global Mean,restaurant,1,1.8635399583777614,0.16471521769762645,,,340,20260329_031728
Per-Aspect Mean,restaurant,1,1.9683530738994495,0.17397947579046077,0.09063989589890771,0.0009550116078114185,340,20260329_031728
Sentiment Lexicon,restaurant,1,1.4608407128209748,0.12912129678363762,0.7577418415187414,0.32131455486559,340,20260329_031728
TextBlob,restaurant,1,1.8323389103418999,0.16195740861684083,0.6702154933771756,0.2547515799138276,340,20260329_031728
TF-IDF + SVR,restaurant,1,1.5895867942552204,0.14050095018780645,0.5947566877921012,0.3806006234236425,340,20260329_031728
Random,laptop,1,4.592209094067512,0.40589777388020876,0.10329023397346897,-0.042471209128076906,275,20260329_031728
Global Mean,laptop,1,2.0599390105711204,0.18207460540069328,,,275,20260329_031728
Per-Aspect Mean,laptop,1,1.9852396237321992,0.1754720500276585,0.2248332275847846,0.13815399014234017,275,20260329_031728
Sentiment Lexicon,laptop,1,1.765950066214681,0.15608940838215418,0.5957939121474762,0.22003508878422606,275,20260329_031728
TextBlob,laptop,1,2.2979595692305343,0.20311284928692855,0.6165128392437502,0.3048301313395758,275,20260329_031728
TF-IDF + SVR,laptop,1,1.5823521042480342,0.13986148789232347,0.6199836514084324,0.36468267754239486,275,20260329_031728
DeBERTa-v3 (ours),restaurant,1,1.29744364893482,0.11467890029615369,0.8781689326883606,0.600675260989073,340,20260329_033749
DeBERTa-v3 (ours),laptop,1,1.053503422496009,0.09311742675627054,0.9066829774707857,0.5472762525481687,275,20260329_054910
V3-Phase1 (ours),restaurant,1,1.1417807904256685,0.1009201174423158,0.9126921120480413,0.6468042710055887,340,20260329_072819
V3-Phase1 (ours),laptop,1,1.0840056420879056,0.09581346754560445,0.9107859396604358,0.531615819990758,275,20260329_080413
